quarter_key,year,quarter,region_ar,city,property_type,rental_contracts,avg_rent,property_category_ar
2021Q1,2021,1,الرياض,Riyadh,Commercial,3999,435.48824,مكتب - تجاري
2021Q2,2021,2,الرياض,Riyadh,Residential,1482,13644.653474,استديو - سكني
2021Q2,2021,2,الرياض,Riyadh,Residential,396,48304.642276,دوبلاكس - سكني
2021Q2,2021,2,الرياض,Riyadh,Residential,3653,29016.53773,دور - سكني
2021Q2,2021,2,الرياض,Riyadh,Residential,29840,18859.424623,شقة - سكني
2021Q2,2021,2,الرياض,Riyadh,Residential,998,68347.580756,فيلا - سكني
2021Q2,2021,2,الرياض,Riyadh,Commercial,5013,602.72443,محل - تجاري
2021Q2,2021,2,الرياض,Riyadh,Commercial,465,757.848575,معرض تجاري - تجاري
2021Q2,2021,2,الرياض,Riyadh,Commercial,1735,418.165509,مكتب - تجاري
2021Q3,2021,3,الرياض,Riyadh,Residential,2240,13968.22663,استديو - سكني
2021Q3,2021,3,الرياض,Riyadh,Residential,641,52995.43979,دوبلاكس - سكني
2021Q3,2021,3,الرياض,Riyadh,Residential,7660,30149.562952,دور - سكني
2021Q3,2021,3,الرياض,Riyadh,Residential,60316,20431.243378,شقة - سكني
2021Q3,2021,3,الرياض,Riyadh,Residential,3012,59338.153359,فيلا - سكني
2021Q3,2021,3,الرياض,Riyadh,Commercial,12005,653.218333,محل - تجاري
2021Q3,2021,3,الرياض,Riyadh,Commercial,3272,844.205492,معرض تجاري - تجاري
2021Q3,2021,3,الرياض,Riyadh,Commercial,4257,467.993137,مكتب - تجاري
2021Q4,2021,4,الرياض,Riyadh,Residential,3253,13716.145446,استديو - سكني
2021Q4,2021,4,الرياض,Riyadh,Residential,922,52693.61165,دوبلاكس - سكني
2021Q4,2021,4,الرياض,Riyadh,Residential,8930,29704.902703,دور - سكني
2021Q4,2021,4,الرياض,Riyadh,Residential,76260,19712.257957,شقة - سكني
2021Q4,2021,4,الرياض,Riyadh,Residential,2989,61541.68144,فيلا - سكني
2021Q4,2021,4,الرياض,Riyadh,Commercial,15183,673.634688,محل - تجاري
2021Q4,2021,4,الرياض,Riyadh,Commercial,4092,991.288963,معرض تجاري - تجاري
2021Q4,2021,4,الرياض,Riyadh,Commercial,5418,448.23041,مكتب - تجاري
2022Q1,2022,1,الرياض,Riyadh,Residential,4235,13472.224675,استديو - سكني
2022Q1,2022,1,الرياض,Riyadh,Residential,847,51778.316185,دوبلاكس - سكني
2022Q1,2022,1,الرياض,Riyadh,Residential,9892,29824.31047,دور - سكني
2022Q1,2022,1,الرياض,Riyadh,Residential,87652,19805.81013,شقة - سكني
2022Q1,2022,1,الرياض,Riyadh,Residential,3389,66167.727019,فيلا - سكني
2022Q1,2022,1,الرياض,Riyadh,Commercial,22975,673.151241,محل - تجاري
2022Q1,2022,1,الرياض,Riyadh,Commercial,5184,894.309174,معرض تجاري - تجاري
2022Q1,2022,1,الرياض,Riyadh,Commercial,6615,472.235941,مكتب - تجاري
2022Q2,2022,2,الرياض,Riyadh,Residential,3389,14634.34004,استديو - سكني
2022Q2,2022,2,الرياض,Riyadh,Residential,812,61337.970666,دوبلاكس - سكني
2022Q2,2022,2,الرياض,Riyadh,Residential,8996,29877.263627,دور - سكني
2022Q2,2022,2,الرياض,Riyadh,Residential,80000,20760.532307,شقة - سكني
2022Q2,2022,2,الرياض,Riyadh,Residential,3096,67473.402641,فيلا - سكني
2022Q2,2022,2,الرياض,Riyadh,Commercial,19549,692.108132,محل - تجاري
2022Q2,2022,2,الرياض,Riyadh,Commercial,4295,838.31549,معرض تجاري - تجاري
2022Q2,2022,2,الرياض,Riyadh,Commercial,5700,477.732145,مكتب - تجاري
2022Q3,2022,3,الرياض,Riyadh,Residential,5901,13650.942302,استديو - سكني
2022Q3,2022,3,الرياض,Riyadh,Residential,731,52599.320232,دوبلاكس - سكني
2022Q3,2022,3,الرياض,Riyadh,Residential,11803,30285.618701,دور - سكني
2022Q3,2022,3,الرياض,Riyadh,Residential,110742,20046.934612,شقة - سكني
