city,year,property_type,sales_transactions,market_value,avg_transaction_value,avg_price_m2,rental_contracts,avg_rent,population,sales_quarters_available,rental_quarters_available,price_quarters_available
Dammam,2020,Residential,6843.0,6877851310.85,1005092.9871182231,2466.1806275567583,59123.0,17807.50843147215,1532326,4,4,4
Dammam,2021,Commercial,793.0,2704563583.16,3410546.763127364,1607.374869021933,12488.0,651.3953633600256,1532326,4,4,4
Dammam,2021,Residential,8438.0,7964289323.2,943859.8392036028,2692.0999928961314,69308.0,17864.25411478392,1532326,4,4,4
Dammam,2022,Commercial,1890.0,11093624110.33,5869642.38641799,2123.1865784886786,22407.0,688.7435625222475,1532326,4,4,4
Dammam,2022,Residential,10837.0,12176619649.61,1123615.359380825,2830.0221570303265,112116.0,17427.086700572985,1532326,4,4,4
Dammam,2023,Commercial,1059.0,6506899745.739999,6144381.2518791305,1901.5064370012078,26640.0,727.8579325662912,1532326,3,4,3
Dammam,2023,Residential,5987.0,7403900486.71,1236662.8506280275,2710.2219677969647,139381.0,17540.407109172877,1532326,3,4,3
Dammam,2024,Commercial,,,,,32217.0,728.1199404852406,1532326,0,4,0
Dammam,2024,Residential,,,,,166160.0,18581.39575942518,1532326,0,4,0
Hail,2018,Residential,3.0,1584778.04,528259.3466666667,,,,498575,2,0,0
Hail,2019,Commercial,,,,,424.0,426.3666005872642,498575,0,4,0
Hail,2019,Residential,11.0,6123051.84,556641.0763636363,,3997.0,14436.55608865499,498575,4,4,0
Hail,2020,Commercial,,,,,1733.0,437.11381162839007,498575,0,4,0
Hail,2020,Residential,5.0,2904724.0,580944.8,,8002.0,13306.561556222945,498575,3,4,0
Hail,2021,Commercial,1.0,265000.0,265000.0,,3110.0,449.41483643633444,498575,1,4,0
Hail,2021,Residential,8.0,5531706.0,691463.25,,8814.0,13859.759389105742,498575,3,4,0
Hail,2022,Commercial,939.0,603690672.26,642908.0641746538,395.7040214589989,5947.0,473.4613188970909,498575,3,4,3
Hail,2022,Residential,4375.0,1968973772.37,450051.1479702857,546.6506321805715,23233.0,12174.99760792915,498575,4,4,4
Hail,2023,Commercial,767.0,268979043.6,350689.7569752282,198.06595838070405,7316.0,472.66526744149814,498575,3,4,3
Hail,2023,Residential,3196.0,1116468596.03,349333.1026376721,305.8301396486233,36877.0,12320.128737909346,498575,3,4,3
Hail,2024,Commercial,,,,,8361.0,464.95390433704097,498575,0,4,0
Hail,2024,Residential,,,,,37541.0,15262.043238715325,498575,0,4,0
Jazan,2018,Commercial,94.0,70881084.0,754054.085106383,270.6821095714286,,,200911,4,0,3
Jazan,2018,Residential,676.0,239388373.29,354124.8125591716,532.8645608822939,,,200911,4,0,4
Jazan,2019,Commercial,108.0,675124783.28,6251155.400740741,571.1352163257043,210.0,621.0138124857143,200911,4,4,2
Jazan,2019,Residential,936.0,353276087.25,377431.7171474359,618.5603126302507,4442.0,19313.406987817652,200911,4,4,4
Jazan,2020,Commercial,125.0,85861735.7,686893.8856,541.3161488651183,806.0,674.5982743114145,200911,4,4,4
Jazan,2020,Residential,1294.0,612899980.14,473647.5889799073,1023.0196666515499,6791.0,18781.082190372257,200911,4,4,4
Jazan,2021,Commercial,210.0,135242661.0,644012.6714285715,699.347386695577,1722.0,723.9302796236934,200911,4,4,4
Jazan,2021,Residential,2006.0,1149041159.42,572802.1731904288,1504.8375532677212,8059.0,18741.243959739546,200911,4,4,4
Jazan,2022,Commercial,235.0,313640098.95,1334638.7189361702,839.5939683419432,3484.0,762.1041097950631,200911,4,4,4
Jazan,2022,Residential,2839.0,1754213329.01,617898.3194822121,2004.564407073563,17908.0,16934.591022453264,200911,4,4,4
Jazan,2023,Commercial,126.0,138577597.05,1099822.1988095238,666.410524666314,4131.0,756.8093782856452,200911,3,4,3
Jazan,2023,Residential,2252.0,1328873995.19,590086.1435124334,2110.249973928077,29537.0,15650.639918487288,200911,3,4,3
Jazan,2024,Commercial,,,,,4163.0,740.9947338529907,200911,0,4,0
Jazan,2024,Residential,,,,,28546.0,17943.838260629298,200911,0,4,0
Jeddah,2018,Commercial,1539.0,5629188414.45,3657692.2770955167,1294.259979335347,,,3751722,4,0,4
Jeddah,2018,Residential,14513.0,13182696259.9,908337.0950113691,2098.808917951627,,,3751722,4,0,4
Jeddah,2019,Commercial,2410.0,7646001104.24,3172614.566074689,1385.631854614277,3112.0,674.993899332905,3751722,4,4,4
Jeddah,2019,Residential,24133.0,21749732911.39,901244.4748431608,2220.057715602389,87890.0,21972.280522559224,3751722,4,4,4
Jeddah,2020,Commercial,2978.0,7327182446.62,2460437.3561517796,1542.0415664691225,14752.0,681.8030173504609,3751722,4,4,4
Jeddah,2020,Residential,28004.0,24310388699.86,868104.1529731468,2309.6207126600993,137994.0,21100.146429119744,3751722,4,4,4
Jeddah,2021,Commercial,3319.0,10329683954.67,3112288.024908105,1778.881828183663,32171.0,771.8536817270833,3751722,4,4,4
Jeddah,2021,Residential,31643.0,31054207936.949997,981392.659891603,2628.2225123787475,177130.0,21052.53376391035,3751722,4,4,4
Jeddah,2022,Commercial,3772.0,15098439315.600002,4002767.5810180283,2203.3274395421563,68320.0,868.0966717790983,3751722,4,4,4
Jeddah,2022,Residential,36582.0,40623707277.259995,1110483.4967268053,3202.8188795137376,342486.0,23913.988375080793,3751722,4,4,4
Jeddah,2023,Commercial,1593.0,7642311998.8,4797433.772002511,2514.6144754381376,76007.0,908.0009797297222,3751722,3,4,3
Jeddah,2023,Residential,19410.0,22255494191.21,1146599.391613086,3464.0731685067162,383658.0,24509.134349517328,3751722,3,4,3
Jeddah,2024,Commercial,,,,,83797.0,930.0766727993247,3751722,0,4,0
